Unnamed: 0,Time,Open,High,Low,Close,volume,spread,real_volume,sma_20,sma_200,bearish_cross,bullish_cross,engulfing,bullish_engulfing,bearish_engulfing
11000,2023-03-28 15:54:00,1.08304,1.08364,1.08299,1.08331,222,16,0,1.0838444999999977,1.0818982499999994,False,True,0,False,False
11001,2023-03-28 15:57:00,1.08332,1.08387,1.08331,1.08385,142,16,0,1.0838849999999975,1.0819109999999994,False,True,0,False,False
11002,2023-03-28 16:00:00,1.08384,1.08384,1.08329,1.0837,241,16,0,1.0838989999999975,1.0819222999999996,False,True,0,False,False
11003,2023-03-28 16:03:00,1.08366,1.08368,1.08324,1.0835,203,16,0,1.0839174999999976,1.0819321999999991,False,True,0,False,False
11004,2023-03-28 16:06:00,1.0835,1.08355,1.08328,1.08349,157,16,0,1.0839104999999978,1.0819418999999997,False,True,0,False,False
11005,2023-03-28 16:09:00,1.0835,1.08355,1.08321,1.08321,176,16,0,1.0838804999999978,1.0819498499999995,False,True,0,False,False
11006,2023-03-28 16:12:00,1.08321,1.08331,1.08295,1.08328,183,16,0,1.0838459999999976,1.0819587499999996,False,True,0,False,False
11007,2023-03-28 16:15:00,1.08327,1.08343,1.08318,1.08324,210,16,0,1.0838139999999976,1.0819676499999995,False,True,0,False,False
11008,2023-03-28 16:18:00,1.08324,1.08351,1.08323,1.08348,152,16,0,1.0837804999999976,1.0819782999999996,False,True,0,False,False
11009,2023-03-28 16:21:00,1.08349,1.0835,1.08276,1.08295,192,16,0,1.0837099999999975,1.0819859499999998,False,True,-100,False,True
11010,2023-03-28 16:24:00,1.08294,1.08327,1.0828,1.08293,219,16,0,1.0836399999999975,1.0819931499999995,False,True,0,False,False
11011,2023-03-28 16:27:00,1.08293,1.083,1.08263,1.0827,157,16,0,1.0835714999999977,1.0819989499999998,False,True,0,False,False
11012,2023-03-28 16:30:00,1.08275,1.08292,1.08257,1.08257,276,16,0,1.0834804999999976,1.0820047499999996,False,True,0,False,False
11013,2023-03-28 16:33:00,1.08257,1.08306,1.0822,1.08304,283,16,0,1.0834174999999977,1.0820122999999997,False,True,0,False,False
11014,2023-03-28 16:36:00,1.08305,1.08305,1.08255,1.08297,211,16,0,1.0833429999999975,1.0820199999999998,False,True,0,False,False
11015,2023-03-28 16:39:00,1.08299,1.08306,1.08266,1.08272,272,16,0,1.0832654999999975,1.0820263999999995,False,True,0,False,False
11016,2023-03-28 16:42:00,1.08274,1.08276,1.08255,1.08271,229,16,0,1.0832039999999976,1.0820327999999997,False,True,0,False,False
