Unnamed: 0,Time,Open,High,Low,Close,volume,spread,real_volume,sma_20,sma_200,bearish_cross,bullish_cross,engulfing,bullish_engulfing,bearish_engulfing
27500,2023-05-16 00:57:00,1.08739,1.08739,1.08732,1.08735,8,29,0,1.0872889999999986,1.0873983499999968,True,False,0,False,False
27501,2023-05-16 01:00:00,1.08734,1.08749,1.08733,1.08738,35,19,0,1.0872939999999989,1.0873967999999967,True,False,0,False,False
27502,2023-05-16 01:03:00,1.08739,1.08744,1.08739,1.08741,15,21,0,1.0872999999999986,1.0873955499999968,True,False,0,False,False
27503,2023-05-16 01:06:00,1.08743,1.08743,1.08738,1.08739,21,20,0,1.0873049999999984,1.0873945499999969,True,False,0,False,False
27504,2023-05-16 01:09:00,1.08739,1.08744,1.08738,1.0874,12,20,0,1.0873119999999985,1.0873940999999967,True,False,0,False,False
27505,2023-05-16 01:12:00,1.08741,1.08741,1.08738,1.0874,14,18,0,1.0873179999999985,1.0873945999999968,True,False,0,False,False
27506,2023-05-16 01:15:00,1.08739,1.08743,1.08738,1.08743,29,20,0,1.0873264999999983,1.0873939999999969,True,False,100,True,False
27507,2023-05-16 01:18:00,1.08742,1.08744,1.08739,1.08743,24,19,0,1.0873339999999985,1.087394499999997,True,False,0,False,False
27508,2023-05-16 01:21:00,1.08743,1.08743,1.08739,1.08742,38,19,0,1.0873404999999985,1.087393849999997,True,False,0,False,False
27509,2023-05-16 01:24:00,1.08743,1.08758,1.0874,1.08758,28,19,0,1.0873554999999986,1.087393999999997,True,False,0,False,False
27510,2023-05-16 01:27:00,1.08757,1.0876,1.08748,1.08753,59,17,0,1.0873674999999987,1.087393499999997,True,False,0,False,False
27511,2023-05-16 01:30:00,1.08754,1.08758,1.08753,1.08754,41,18,0,1.087379999999999,1.0873892499999969,True,False,0,False,False
27512,2023-05-16 01:33:00,1.08755,1.08755,1.08743,1.08745,46,17,0,1.0873889999999986,1.087383749999997,False,True,-100,False,True
27513,2023-05-16 01:36:00,1.08744,1.0875,1.08743,1.08748,40,17,0,1.0873999999999986,1.087381849999997,False,True,0,False,False
27514,2023-05-16 01:39:00,1.08747,1.08758,1.08746,1.08749,39,17,0,1.0874124999999986,1.087381849999997,False,True,0,False,False
27515,2023-05-16 01:42:00,1.08748,1.08749,1.08742,1.08744,27,16,0,1.0874214999999985,1.0873811499999968,False,True,0,False,False
27516,2023-05-16 01:45:00,1.08743,1.08745,1.08743,1.08743,10,16,0,1.0874274999999989,1.0873808999999968,False,True,0,False,False
27517,2023-05-16 01:48:00,1.08744,1.08762,1.08743,1.08761,23,16,0,1.0874444999999988,1.0873809999999968,False,True,0,False,False
27518,2023-05-16 01:51:00,1.0876,1.08764,1.0875,1.08751,99,16,0,1.0874544999999989,1.087379599999997,False,True,0,False,False
27519,2023-05-16 01:54:00,1.08751,1.08755,1.08743,1.08754,109,16,0,1.0874604999999986,1.087377399999997,False,True,0,False,False
27520,2023-05-16 01:57:00,1.08753,1.08755,1.08752,1.08752,22,16,0,1.087468999999999,1.087375899999997,False,True,0,False,False
27521,2023-05-16 02:00:00,1.08749,1.0875,1.08742,1.08747,51,16,0,1.0874734999999986,1.087375999999997,False,True,0,False,False
27522,2023-05-16 02:03:00,1.08748,1.08748,1.08742,1.08747,23,17,0,1.0874764999999988,1.087375299999997,False,True,0,False,False
27523,2023-05-16 02:06:00,1.08744,1.08744,1.08737,1.08738,20,16,0,1.0874759999999988,1.087373999999997,False,True,0,False,False
27524,2023-05-16 02:09:00,1.0874,1.08745,1.08737,1.08745,35,17,0,1.087478499999999,1.087372249999997,False,True,0,False,False
27525,2023-05-16 02:12:00,1.08744,1.0875,1.08742,1.08749,40,17,0,1.0874829999999989,1.087371299999997,False,True,0,False,False
27526,2023-05-16 02:15:00,1.08747,1.08748,1.08746,1.08747,15,19,0,1.0874849999999987,1.087370599999997,False,True,0,False,False
27527,2023-05-16 02:18:00,1.08746,1.08747,1.0874,1.0874,15,17,0,1.0874834999999987,1.0873693499999968,False,True,0,False,False
27528,2023-05-16 02:21:00,1.08737,1.08741,1.08735,1.08737,19,17,0,1.0874809999999986,1.087366299999997,False,True,0,False,False
27529,2023-05-16 02:24:00,1.08738,1.08744,1.08735,1.08737,47,17,0,1.087470499999999,1.0873633999999968,False,True,0,False,False
27530,2023-05-16 02:27:00,1.08739,1.08742,1.08737,1.08737,27,18,0,1.0874624999999989,1.0873611999999968,False,True,0,False,False
27531,2023-05-16 02:30:00,1.08735,1.0874,1.08735,1.08737,36,17,0,1.0874539999999986,1.0873598499999968,False,True,0,False,False
