Unnamed: 0,Time,Open,High,Low,Close,volume,spread,real_volume,sma_20,sma_200,bearish_cross,bullish_cross,engulfing,bullish_engulfing,bearish_engulfing
55000,2023-08-03 08:00:00,1.09224,1.0923,1.09189,1.09191,154,16,0,1.0928584999999964,1.0938017999999987,True,False,0,False,False
55001,2023-08-03 08:03:00,1.09191,1.092,1.09183,1.09194,111,16,0,1.0927919999999964,1.0937898499999985,True,False,0,False,False
55002,2023-08-03 08:06:00,1.09194,1.09206,1.09194,1.09204,96,16,0,1.0927284999999969,1.0937790499999986,True,False,0,False,False
55003,2023-08-03 08:09:00,1.09204,1.09208,1.09187,1.09189,105,16,0,1.0926504999999964,1.0937673499999985,True,False,0,False,False
55004,2023-08-03 08:12:00,1.09188,1.09224,1.09186,1.09222,112,16,0,1.0925899999999964,1.0937574999999986,True,False,100,True,False
55005,2023-08-03 08:15:00,1.09223,1.0924,1.09221,1.0924,89,16,0,1.0925419999999966,1.0937493499999986,True,False,0,False,False
55006,2023-08-03 08:18:00,1.09241,1.09261,1.09239,1.0926,106,16,0,1.0925009999999966,1.0937419999999989,True,False,0,False,False
55007,2023-08-03 08:21:00,1.09261,1.09284,1.09257,1.09282,113,16,0,1.0924749999999963,1.0937363999999985,True,False,0,False,False
55008,2023-08-03 08:24:00,1.09282,1.09282,1.09272,1.0928,73,16,0,1.0924539999999967,1.0937317999999987,True,False,0,False,False
55009,2023-08-03 08:27:00,1.0928,1.09286,1.09272,1.09272,51,16,0,1.0924289999999968,1.0937268999999987,True,False,0,False,False
55010,2023-08-03 08:30:00,1.09274,1.09294,1.09272,1.09287,56,16,0,1.0924189999999967,1.0937235999999988,True,False,0,False,False
55011,2023-08-03 08:33:00,1.09287,1.09297,1.09278,1.09297,36,16,0,1.0924209999999968,1.0937210499999988,True,False,0,False,False
55012,2023-08-03 08:36:00,1.09297,1.09314,1.09292,1.09302,102,16,0,1.0924309999999968,1.0937175499999987,True,False,0,False,False
55013,2023-08-03 08:39:00,1.09302,1.09309,1.09264,1.09267,103,16,0,1.092423999999997,1.0937120499999988,True,False,0,False,False
55014,2023-08-03 08:42:00,1.0927,1.09278,1.09261,1.09267,90,16,0,1.092445499999997,1.0937058499999988,True,False,0,False,False
55015,2023-08-03 08:45:00,1.09267,1.09292,1.09262,1.09292,93,16,0,1.0924754999999968,1.0937000999999988,True,False,0,False,False
55016,2023-08-03 08:48:00,1.09291,1.09298,1.09282,1.09294,75,16,0,1.0925054999999968,1.0936941999999987,True,False,0,False,False
55017,2023-08-03 08:51:00,1.09293,1.09332,1.09292,1.09327,158,17,0,1.0925579999999968,1.0936900999999988,True,False,0,False,False
55018,2023-08-03 08:54:00,1.09326,1.09367,1.09311,1.09359,206,16,0,1.0926244999999968,1.0936880999999987,True,False,0,False,False
55019,2023-08-03 08:57:00,1.09359,1.09399,1.09359,1.09388,261,16,0,1.0927069999999968,1.0936880999999987,True,False,0,False,False
55020,2023-08-03 09:00:00,1.09382,1.09383,1.09336,1.09381,260,16,0,1.0928019999999967,1.0936889999999988,True,False,0,False,False
55021,2023-08-03 09:03:00,1.09382,1.09424,1.09365,1.09407,320,16,0,1.0929084999999967,1.0936909999999989,True,False,0,False,False
55022,2023-08-03 09:06:00,1.09408,1.09416,1.0939,1.094,277,17,0,1.0930064999999969,1.0936929499999986,True,False,0,False,False
55023,2023-08-03 09:09:00,1.09401,1.09402,1.09361,1.09362,176,17,0,1.0930929999999968,1.0936932499999985,True,False,0,False,False
55024,2023-08-03 09:12:00,1.09365,1.09394,1.09362,1.09389,137,17,0,1.0931764999999969,1.0936946999999986,True,False,0,False,False
55025,2023-08-03 09:15:00,1.09388,1.09416,1.09379,1.0941,142,16,0,1.0932614999999966,1.0936973999999986,True,False,0,False,False
55026,2023-08-03 09:18:00,1.09411,1.09411,1.09391,1.09392,151,17,0,1.093327499999997,1.0936989999999984,True,False,0,False,False
55027,2023-08-03 09:21:00,1.09393,1.09398,1.09338,1.09361,214,17,0,1.0933669999999966,1.0936992999999986,True,False,0,False,False
55028,2023-08-03 09:24:00,1.0936,1.09369,1.09349,1.09356,133,17,0,1.0934049999999966,1.0936992999999986,True,False,0,False,False
55029,2023-08-03 09:27:00,1.09356,1.09384,1.09354,1.09359,160,16,0,1.0934484999999967,1.0936989999999986,True,False,0,False,False
55030,2023-08-03 09:30:00,1.0936,1.09389,1.09345,1.09357,238,16,0,1.0934834999999965,1.0936984999999986,True,False,0,False,False
55031,2023-08-03 09:33:00,1.09357,1.09368,1.09346,1.09357,203,16,0,1.0935134999999965,1.0936984999999986,True,False,0,False,False
55032,2023-08-03 09:36:00,1.09356,1.09357,1.09295,1.09306,193,16,0,1.0935154999999963,1.0936962499999985,True,False,0,False,False
55033,2023-08-03 09:39:00,1.09307,1.09331,1.09296,1.09319,123,16,0,1.0935414999999966,1.0936947999999986,True,False,0,False,False
55034,2023-08-03 09:42:00,1.09322,1.09327,1.09287,1.09287,179,16,0,1.093551499999997,1.0936912999999986,True,False,-100,False,True
